seed,t,T,algorithm,revenue,regret_cumulative,simple_regret,opt_joint_oracle,opt_indep_product_surrogate,gap_joint_minus_indep_product,a0,a1,a2,a3,a4,a5,recommendation_revenue,recommendation_simple_regret,recommendation_a0,recommendation_a1,recommendation_a2,recommendation_a3,recommendation_a4,recommendation_a5,played_revenue,played_simple_regret,played_regret_cumulative
0,3,50,GP-UCB-Iso-Mat12,1.7924667490666728,6.2534252733596345,1.8075332509333277,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,1.0,1.0,0.75,0.5,0.5,1.7924667490666728,1.8075332509333277,0.5,1.0,1.0,0.75,0.5,0.5,1.7924667490666728,1.8075332509333277,6.2534252733596345
0,3,50,BPE-Iso-Mat12,0.26882922697624,8.858008167447673,3.3311707730237607,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,0.25,0.0,0.0,1.0,1.0,0.26882922697624,3.3311707730237607,1.0,0.25,0.0,0.0,1.0,1.0,0.26882922697624,3.3311707730237607,8.858008167447673
0,3,50,HGP-UCB-CPP,1.4243574538708481,7.139068848723097,2.1756425461291524,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,1.0,0.5,0.5,0.5,0.5,1.4243574538708481,2.1756425461291524,1.0,1.0,0.5,0.5,0.5,0.5,1.4243574538708481,2.1756425461291524,7.139068848723097
0,3,50,BZ-ETC,1.9689904161440022,6.566231093137011,1.6310095838559984,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,1.0,0.75,0.25,1.0,1.9689904161440022,1.6310095838559984,0.5,0.5,1.0,0.75,0.25,1.0,1.9689904161440022,1.6310095838559984,6.566231093137011
0,3,50,SPSA,2.1173952118218686,4.447814364534396,1.482604788178132,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,4.447814364534396
0,3,50,Kleinberg,0.2588493010926961,7.782385103790084,3.3411506989073043,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,0.5,0.0,0.0,1.0,0.25,0.2588493010926961,3.3411506989073043,1.0,0.5,0.0,0.0,1.0,0.25,0.2588493010926961,3.3411506989073043,7.782385103790084
0,3,50,Univariate,0.8322910598904375,8.706292166234174,2.767708940109563,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,0.5,0.0,0.0,0.25,0.25,0.8322910598904375,2.767708940109563,1.0,0.5,0.0,0.0,0.25,0.25,0.8322910598904375,2.767708940109563,8.706292166234174
0,4,50,DMS-X0-BPE,1.5422094819022012,7.743139165874594,2.057790518097799,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.5,0.5,0.25,0.5,0.75,0.6000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.5422094819022012,2.057790518097799,7.743139165874594
0,4,50,Joint-DMS-GP-UCB,1.720104514686023,8.551041687560124,1.8798954853139775,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.25,0.0,1.0,0.25,0.25,1.720104514686023,1.8798954853139775,0.75,0.25,0.0,1.0,0.25,0.25,1.720104514686023,1.8798954853139775,8.551041687560124
0,4,50,GP-UCB-Iso-Mat12,0.63787751641697,9.215547756942666,2.9621224835830304,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.0,0.5,0.25,1.0,0.0,0.63787751641697,2.9621224835830304,0.75,0.0,0.5,0.25,1.0,0.0,0.63787751641697,2.9621224835830304,9.215547756942666
